
tid=18856 lastUpdateUs=7252424444 state=ThreadPool.Worker.AtomicWait
tid=1200 lastUpdateUs=7257707513 state=ThreadPool.Worker.AtomicWait
tid=4900 lastUpdateUs=7257707141 state=ThreadPool.Worker.Spin
-- SectionsTop --
Collider.Update us=5282567 calls=1
Collider.UpdateFrame us=5282544 calls=1
Collider.CheckDetailedCollisions us=5282310 calls=1
Collider.ProcessPairEvents us=5281700 calls=1
Collider.BuildCurrentPairs us=522 calls=1
Collider.SpatialPartitioning us=513 calls=1
Physics.SolveAllIslands us=259 calls=1
Physics.SplitImpulseCorrection us=127 calls=1
Collider.GridCellCompute us=122 calls=1
Collider.UpdateAllShapes us=114 calls=1
Collider.GridMerge us=97 calls=1
Physics.GenerateSpeculativeContacts us=59 calls=1
Physics.BuildLookupCaches us=28 calls=1
Physics.BuildIslands us=23 calls=1
Physics.BuildSolverContacts us=18 calls=1
Collider.SweptAABB us=14 calls=1

[HANG] frame=5750 sinceHeartbeatUs=5547006
-- ThreadStates --
tid=15344 lastUpdateUs=7264450723 state=ThreadPool.Worker.AtomicWait
tid=22420 lastUpdateUs=7264450701 state=ThreadPool.Worker.AtomicWait
tid=2028 lastUpdateUs=7264450896 state=ThreadPool.Worker.AtomicWait
tid=13280 lastUpdateUs=7264450752 state=Idle
tid=7060 lastUpdateUs=7264450822 state=ThreadPool.Worker.AtomicWait
tid=5360 lastUpdateUs=7264450655 state=ThreadPool.Worker.AtomicWait
tid=16404 lastUpdateUs=7264450790 state=ThreadPool.Worker.AtomicWait
tid=22632 lastUpdateUs=7264450698 state=ThreadPool.Worker.AtomicWait
tid=19476 lastUpdateUs=7264450772 state=ThreadPool.Worker.AtomicWait
tid=19104 lastUpdateUs=7264450683 state=ThreadPool.Worker.AtomicWait
tid=5752 lastUpdateUs=7264450697 state=ThreadPool.Worker.AtomicWait
tid=20928 lastUpdateUs=7264450785 state=ThreadPool.Worker.AtomicWait
tid=2204 lastUpdateUs=7264450858 state=ThreadPool.Worker.AtomicWait
tid=18856 lastUpdateUs=7264450763 state=ThreadPool.Worker.AtomicWait
tid=1200 lastUpdateUs=7264450719 state=ThreadPool.Worker.AtomicWait
tid=4900 lastUpdateUs=7264450833 state=ThreadPool.Worker.AtomicWait
-- SectionsTop --
Physics.Update us=5543819 calls=1
Physics.StepSimulation us=5543713 calls=1
Collider.Update us=5543327 calls=1
Collider.UpdateFrame us=5543320 calls=1
Collider.CheckDetailedCollisions us=5542947 calls=1
Collider.ProcessPairEvents us=5542475 calls=1
Collider.BuildCurrentPairs us=440 calls=1
Collider.SpatialPartitioning us=435 calls=1
Collider.UpdateAllShapes us=360 calls=1
ThreadPool.Barrier.SpinWait us=110 calls=1
Collider.BroadPhase us=92 calls=1
Collider.GridCellCompute us=63 calls=1
Physics.SplitImpulseCorrection us=51 calls=1
Collider.GridMerge us=47 calls=1
Physics.SolveAllIslands us=38 calls=1
Physics.BuildLookupCaches us=28 calls=1

[HANG] frame=4661 sinceHeartbeatUs=1915188
-- ThreadStates --
tid=20080 lastUpdateUs=7366271716 state=ThreadPool.Worker.AtomicWait
tid=20048 lastUpdateUs=7366271547 state=Physics.SplitImpulseCorrection
tid=8220 lastUpdateUs=7364357185 state=ThreadPool.Worker.AtomicWait
tid=22980 lastUpdateUs=7364357073 state=ThreadPool.Worker.AtomicWait
tid=12764 lastUpdateUs=7366271638 state=ThreadPool.Worker.AtomicWait
tid=22948 lastUpdateUs=7366271580 state=ThreadPool.Worker.Spin
tid=11256 lastUpdateUs=7366271654 state=ThreadPool.Worker.AtomicWait
tid=25348 lastUpdateUs=7366271653 state=ThreadPool.Worker.Spin
tid=3396 lastUpdateUs=7366271609 state=ThreadPool.Worker.Spin
